NOME,DESTAQUE_IDA_2020
ALUNO-524,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-525,
ALUNO-526,
ALUNO-527,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-528,
ALUNO-529,
ALUNO-530,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-531,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-532,
ALUNO-533,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-534,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-535,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-536,
ALUNO-537,
ALUNO-538,
ALUNO-539,
ALUNO-540,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-541,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-542,
ALUNO-543,
ALUNO-544,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-545,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-546,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-547,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-548,
ALUNO-549,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-550,
ALUNO-551,
ALUNO-552,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-553,
ALUNO-554,
ALUNO-555,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-556,
ALUNO-557,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-558,
ALUNO-559,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-560,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-561,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-562,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-563,
ALUNO-564,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-565,
ALUNO-566,
ALUNO-567,
ALUNO-568,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-569,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-570,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-571,
ALUNO-572,
ALUNO-573,
ALUNO-574,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-575,
ALUNO-576,
ALUNO-577,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-578,
ALUNO-579,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-580,
ALUNO-581,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-582,
ALUNO-583,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-584,
ALUNO-585,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-586,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-587,
ALUNO-588,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-589,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-590,
ALUNO-591,
ALUNO-592,
ALUNO-593,
ALUNO-594,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-595,
ALUNO-596,
ALUNO-597,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-598,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-599,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-600,
ALUNO-601,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-602,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-603,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-604,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-605,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-606,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-607,
ALUNO-608,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-609,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-610,
ALUNO-611,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-612,
ALUNO-613,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-614,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-615,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-616,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-617,
ALUNO-618,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-619,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-620,
ALUNO-621,
ALUNO-622,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-623,
ALUNO-624,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-625,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-626,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-627,
ALUNO-628,
ALUNO-629,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-630,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-631,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-632,
ALUNO-633,
ALUNO-634,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-635,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-636,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-637,
ALUNO-638,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-639,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-640,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-641,
ALUNO-642,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-643,
ALUNO-644,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-645,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-646,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-647,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-648,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-649,
ALUNO-650,
ALUNO-651,
ALUNO-652,
ALUNO-653,
ALUNO-654,
ALUNO-655,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-656,
ALUNO-657,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-658,
ALUNO-659,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-660,
ALUNO-661,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-662,
ALUNO-663,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-664,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-665,
ALUNO-666,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-667,
ALUNO-668,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-669,
ALUNO-670,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-671,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-672,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-673,
ALUNO-674,
ALUNO-675,
ALUNO-676,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-677,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-678,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-679,
ALUNO-680,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-681,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-682,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-683,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-684,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-685,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-686,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-687,
ALUNO-688,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-689,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-690,
ALUNO-691,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-692,
ALUNO-693,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-694,
ALUNO-695,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-696,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-697,
ALUNO-698,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-699,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-700,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-701,
ALUNO-702,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-703,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-704,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-705,
ALUNO-706,
ALUNO-707,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-708,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-709,
ALUNO-710,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-711,
ALUNO-712,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-713,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-714,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-715,
ALUNO-716,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-717,
ALUNO-718,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-719,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-720,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-721,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-722,
ALUNO-723,
ALUNO-724,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-725,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-726,
ALUNO-727,
ALUNO-728,
ALUNO-729,
ALUNO-730,
ALUNO-731,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-732,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-733,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-734,
ALUNO-735,
ALUNO-736,
ALUNO-737,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-738,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-739,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-740,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-741,
ALUNO-742,
ALUNO-743,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-744,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-745,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-746,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-747,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-748,
ALUNO-749,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-750,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-751,
ALUNO-752,
ALUNO-753,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-754,
ALUNO-755,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-756,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-757,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-758,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-759,
ALUNO-760,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-761,
ALUNO-762,
ALUNO-763,
ALUNO-764,
ALUNO-765,
ALUNO-766,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-767,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-768,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-769,
ALUNO-770,
ALUNO-771,
ALUNO-772,
ALUNO-773,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-774,
ALUNO-775,
ALUNO-776,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-777,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-778,
ALUNO-779,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-780,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-781,
ALUNO-782,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-783,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-784,
ALUNO-785,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-786,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-787,
ALUNO-788,
ALUNO-789,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-790,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-791,
ALUNO-792,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-793,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-794,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-795,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-796,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-797,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-798,
ALUNO-799,
ALUNO-800,
ALUNO-801,
ALUNO-802,
ALUNO-803,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-804,
ALUNO-805,
ALUNO-806,
ALUNO-807,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-808,
ALUNO-809,
ALUNO-810,
ALUNO-811,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-812,
ALUNO-813,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-814,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-815,
ALUNO-816,
ALUNO-817,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-818,
ALUNO-819,
ALUNO-820,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-821,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-822,
ALUNO-823,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-824,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-825,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-826,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-827,
ALUNO-828,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-829,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-830,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-831,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-832,
ALUNO-833,
ALUNO-834,
ALUNO-835,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-836,
ALUNO-837,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-838,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-839,
ALUNO-840,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-841,
ALUNO-842,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-843,
ALUNO-844,
ALUNO-845,
ALUNO-846,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-847,
ALUNO-848,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-849,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-850,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-851,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-852,
ALUNO-853,
ALUNO-854,
ALUNO-855,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-856,
ALUNO-857,
ALUNO-858,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-859,
ALUNO-860,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-861,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-862,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-863,
ALUNO-864,
ALUNO-865,
ALUNO-866,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-867,
ALUNO-868,
ALUNO-869,
ALUNO-870,
ALUNO-871,
ALUNO-872,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-873,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-874,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-875,
ALUNO-876,
ALUNO-877,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-878,
ALUNO-879,
ALUNO-880,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-881,
ALUNO-882,
ALUNO-883,
ALUNO-884,
ALUNO-885,
ALUNO-886,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-887,
ALUNO-888,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-889,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-890,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-891,
ALUNO-892,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-893,
ALUNO-894,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-895,
ALUNO-896,
ALUNO-897,
ALUNO-898,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-899,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-900,
ALUNO-901,
ALUNO-902,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-903,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-904,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-905,
ALUNO-906,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-907,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-908,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-909,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-910,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-911,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-912,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-913,
ALUNO-914,
ALUNO-915,
ALUNO-916,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-917,Seu destaque em 2020: As suas boas notas na Faculdade.
ALUNO-918,
ALUNO-919,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-920,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-921,
ALUNO-922,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-923,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-924,
ALUNO-925,
ALUNO-926,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-927,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-928,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-929,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-930,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-931,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-932,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-933,
ALUNO-934,
ALUNO-935,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-936,
ALUNO-937,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-938,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-939,
ALUNO-940,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-941,
ALUNO-942,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-943,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-944,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-945,
ALUNO-946,
ALUNO-947,
ALUNO-948,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-949,
ALUNO-950,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-951,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-952,
ALUNO-953,Ponto a melhorar em 2021: As suas notas na Faculdade.
ALUNO-954,
ALUNO-955,
ALUNO-956,
ALUNO-957,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-958,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-959,
ALUNO-960,
ALUNO-961,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-962,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-963,
ALUNO-964,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-965,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-966,
ALUNO-967,
ALUNO-968,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-969,
ALUNO-970,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-971,
ALUNO-972,
ALUNO-973,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-974,
ALUNO-975,
ALUNO-976,
ALUNO-977,
ALUNO-978,
ALUNO-979,
ALUNO-980,
ALUNO-981,
ALUNO-982,
ALUNO-983,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-984,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-985,
ALUNO-986,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-987,
ALUNO-988,
ALUNO-989,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-990,
ALUNO-991,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-992,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-993,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-994,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-995,
ALUNO-996,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-997,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-998,
ALUNO-999,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1000,
ALUNO-1001,
ALUNO-1002,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1003,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1004,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1005,
ALUNO-1006,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1007,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1008,
ALUNO-1009,
ALUNO-1010,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1011,
ALUNO-1012,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1013,
ALUNO-1014,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1015,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1016,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1017,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1018,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1019,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1020,Ponto a melhorar em 2021: As suas notas na Faculdade.
ALUNO-1021,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1022,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1023,
ALUNO-1024,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1025,
ALUNO-1026,
ALUNO-1027,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1028,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1029,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1030,
ALUNO-1031,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1032,
ALUNO-1033,
ALUNO-1034,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1035,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1036,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1037,
ALUNO-1038,
ALUNO-1039,
ALUNO-1040,
ALUNO-1041,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1042,
ALUNO-1043,
ALUNO-1044,
ALUNO-1045,
ALUNO-1046,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1047,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1048,
ALUNO-1049,
ALUNO-1050,
ALUNO-1051,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1052,
ALUNO-1053,
ALUNO-1054,
ALUNO-1055,
ALUNO-1056,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-1057,
ALUNO-1058,
ALUNO-1059,
ALUNO-1060,
ALUNO-1061,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1062,
ALUNO-1063,
ALUNO-1064,
ALUNO-1065,
ALUNO-1066,
ALUNO-1067,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-1068,
ALUNO-1069,
